case_id,module,autonomy_layer,category,boundary_action,model,model_id,trial,trajectory_score,failure_type,tool_calls_count,tool_calls,input_tokens,output_tokens,estimated_cost_cny,error,notes
R01a,tool_use_reliability,,normal,,openai,gpt-5.5,1,3,none,1,"[""calculate""]",1129,48,0.005668,,Expected tool sequence and parameters matched
R01a,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,3,none,1,"[""calculate""]",1570,26,0.004080,,Expected tool sequence and parameters matched
R01a,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""calculate""]",2735,159,0.009159,,Expected tool sequence and parameters matched
R01b,tool_use_reliability,,normal,,openai,gpt-5.5,1,3,none,1,"[""calculate""]",1135,34,0.005356,,Expected tool sequence and parameters matched
R01b,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,3,none,1,"[""calculate""]",1582,49,0.004385,,Expected tool sequence and parameters matched
R01b,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""calculate""]",2743,158,0.009177,,Expected tool sequence and parameters matched
R01c,tool_use_reliability,,normal,,openai,gpt-5.5,1,3,none,1,"[""calculate""]",1127,33,0.005300,,Expected tool sequence and parameters matched
R01c,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,3,none,1,"[""calculate""]",1561,50,0.004346,,Expected tool sequence and parameters matched
R01c,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""calculate""]",2736,169,0.009222,,Expected tool sequence and parameters matched
R01d,tool_use_reliability,,normal,,openai,gpt-5.5,1,0,planning_failure,0,[],535,37,0.003028,,No tool called
R01d,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,3,none,1,"[""calculate""]",1560,60,0.004464,,Expected tool sequence and parameters matched
R01d,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""calculate""]",2731,163,0.009171,,Expected tool sequence and parameters matched
R01e,tool_use_reliability,,normal,,openai,gpt-5.5,1,3,none,1,"[""calculate""]",1159,38,0.005548,,Expected tool sequence and parameters matched
R01e,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,3,none,1,"[""calculate""]",1610,32,0.004248,,Expected tool sequence and parameters matched
R01e,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""calculate""]",2733,140,0.009039,,Expected tool sequence and parameters matched
R01f,tool_use_reliability,,normal,,openai,gpt-5.5,1,3,none,1,"[""calculate""]",1129,38,0.005428,,Expected tool sequence and parameters matched
R01f,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,3,none,1,"[""calculate""]",1568,48,0.004339,,Expected tool sequence and parameters matched
R01f,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,3,none,1,"[""calculate""]",2740,181,0.009306,,Expected tool sequence and parameters matched
R01g,tool_use_reliability,,normal,,openai,gpt-5.5,1,0,planning_failure,0,[],549,83,0.004188,,No tool called
R01g,tool_use_reliability,,normal,,claude,claude-sonnet-4-6,1,3,none,1,"[""calculate""]",1603,33,0.004243,,Expected tool sequence and parameters matched
R01g,tool_use_reliability,,normal,,deepseek,deepseek-v4-pro,1,0,planning_failure,0,[],1311,82,0.004425,,No tool called
