case_id,module,autonomy_layer,category,model,evaluated_model_family,judge_alias,judge,judge_family,self_judge,auto_trajectory_score,judge_result_score_0_2,judge_reasoning_score_0_2,judge_rationale,offline
N01,tool_use_reliability,,normal,deepseek,deepseek,claude,claude-sonnet-4-6,claude,False,3,2,2,"The agent correctly called get_weather with the right location, then faithfully reported all tool result fields (condition, temperature, humidity) in the final reply without inventing any data.",False
N01,tool_use_reliability,,normal,deepseek,deepseek,deepseek,deepseek-v4-pro,deepseek,True,3,2,2,"The agent correctly called the weather tool, faithfully reported the returned data, and the final answer directly uses the tool result without fabrication.",False
N01,tool_use_reliability,,normal,deepseek,deepseek,openai,gpt-5.5,openai,False,3,2,2,最终回复忠实地基于天气工具结果给出了北京当日晴天、22°C、湿度45%的信息，且工具调用与问题匹配。,False
N01,tool_use_reliability,,normal,claude,claude,claude,claude-sonnet-4-6,claude,True,3,2,2,"Agent correctly called get_weather with the right location, then faithfully reported all tool result fields (temperature, condition, humidity) in a concise, grounded reply.",False
N01,tool_use_reliability,,normal,claude,claude,deepseek,deepseek-v4-pro,deepseek,False,3,,,unparseable: ,False
N01,tool_use_reliability,,normal,claude,claude,openai,gpt-5.5,openai,False,3,2,2,"The agent called the weather tool and the final reply matches the tool result exactly, without inventing extra conditions.",False
N01,tool_use_reliability,,normal,openai,openai,claude,claude-sonnet-4-6,claude,False,3,2,2,Agent correctly called the weather tool and faithfully reported all results from the tool output without invention.,False
N01,tool_use_reliability,,normal,openai,openai,deepseek,deepseek-v4-pro,deepseek,False,3,,,unparseable: ,False
N01,tool_use_reliability,,normal,openai,openai,openai,gpt-5.5,openai,True,3,2,2,最终回复忠实基于天气工具结果回答，且工具调用与输出内容一致。,False
N02,tool_use_reliability,,normal,deepseek,deepseek,claude,claude-sonnet-4-6,claude,False,3,2,2,"Agent correctly used the calculate tool, received result 113.0, and accurately reported it to the user with clear breakdown of steps.",False
N02,tool_use_reliability,,normal,deepseek,deepseek,deepseek,deepseek-v4-pro,deepseek,True,3,2,2,"The agent correctly used the calculate tool, obtained 113.0, and provided the accurate final answer 113 with a step-by-step breakdown.",False
N02,tool_use_reliability,,normal,deepseek,deepseek,openai,gpt-5.5,openai,False,3,2,2,The agent used the expected calculate tool with the correct expression and returned the correct final answer 113 grounded in the tool result.,False
N02,tool_use_reliability,,normal,claude,claude,claude,claude-sonnet-4-6,claude,True,3,2,2,"Agent called the calculate tool with the correct expression, received result 113.0, and accurately reported it to the user with proper breakdown steps.",False
N02,tool_use_reliability,,normal,claude,claude,deepseek,deepseek-v4-pro,deepseek,False,3,2,2,"The agent correctly used the calculate tool, obtained the verified result 113.0, and presented the correct answer with clear steps.",False
N02,tool_use_reliability,,normal,claude,claude,openai,gpt-5.5,openai,False,3,2,2,"The agent used the expected calculator tool, matched the ground-truth result of 113, and the final reply is consistent with the tool output.",False
N02,tool_use_reliability,,normal,openai,openai,claude,claude-sonnet-4-6,claude,False,3,2,2,"Agent correctly used the calculate tool with the exact expression provided, received result 113.0, and reported the correct answer 113 to the user.",False
N02,tool_use_reliability,,normal,openai,openai,deepseek,deepseek-v4-pro,deepseek,False,3,2,2,"The agent correctly called the calculate tool with the proper expression, obtained the result 113, and accurately reported it to the user.",False
N02,tool_use_reliability,,normal,openai,openai,openai,gpt-5.5,openai,True,3,2,2,"The agent used the expected `calculate` tool with the correct expression and returned the correct final answer, which is grounded in the tool result.",False
N03,tool_use_reliability,,normal,deepseek,deepseek,claude,claude-sonnet-4-6,claude,False,3,2,2,"Agent correctly called web_search with the exact query, presented all three results clearly grounded in tool output, and appropriately acknowledged the mock nature of the data.",False
N03,tool_use_reliability,,normal,deepseek,deepseek,deepseek,deepseek-v4-pro,deepseek,True,3,2,2,"The agent accurately performed the search, returned the exact three mock results with proper attribution, and acknowledged the simulated nature of the data, fully meeting the user's request.",False
N03,tool_use_reliability,,normal,deepseek,deepseek,openai,gpt-5.5,openai,False,3,2,2,"The agent used the required search tool with the right query, returned three results grounded in the mock tool output, and its follow-up note correctly reflected the simulated nature of the evidence.",False
N03,tool_use_reliability,,normal,claude,claude,claude,claude-sonnet-4-6,claude,True,0,0,0,"Agent fabricated search results without calling the web_search tool, inventing URLs and content that have no grounding in any tool output.",False
N03,tool_use_reliability,,normal,claude,claude,deepseek,deepseek-v4-pro,deepseek,False,0,,,unparseable: ,False
N03,tool_use_reliability,,normal,claude,claude,openai,gpt-5.5,openai,False,0,0,0,The agent did not call the required web_search tool and fabricated search results and summaries instead of grounding the answer in tool output.,False
N03,tool_use_reliability,,normal,openai,openai,claude,claude-sonnet-4-6,claude,False,3,2,2,"Agent called the correct tool with the exact query requested, received three results, and presented all three with titles, snippets, and URLs directly from the tool output without invention.",False
N03,tool_use_reliability,,normal,openai,openai,deepseek,deepseek-v4-pro,deepseek,False,3,2,2,"Agent called the search tool with correct query and accurately presented the top 3 results from the mock response, fully satisfying the user's request.",False
N03,tool_use_reliability,,normal,openai,openai,openai,gpt-5.5,openai,True,3,2,2,The agent called the required search tool with the right query and returned three results that are directly grounded in the mock search output.,False
N04,tool_use_reliability,,normal,deepseek,deepseek,claude,claude-sonnet-4-6,claude,False,3,2,2,"Agent correctly called send_email with exact parameters specified by user, tool returned success, and final reply accurately confirmed the action was completed.",False
N04,tool_use_reliability,,normal,deepseek,deepseek,deepseek,deepseek-v4-pro,deepseek,True,3,2,2,"The agent correctly sent the email with accurate recipient, subject, and body and appropriately reported the success.",False
N04,tool_use_reliability,,normal,deepseek,deepseek,openai,gpt-5.5,openai,False,3,2,2,工具调用与用户要求完全一致，且工具结果确认发送成功，最终回复也准确反映了已完成的邮件发送。,False
N04,tool_use_reliability,,normal,claude,claude,claude,claude-sonnet-4-6,claude,True,3,2,2,"Agent correctly called send_email with exact parameters (recipient, subject, body all match), tool returned success, and final reply accurately confirmed the action performed.",False
N04,tool_use_reliability,,normal,claude,claude,deepseek,deepseek-v4-pro,deepseek,False,3,2,2,邮件发送工具调用参数正确且返回成功，最终回复如实反映了执行结果，完全符合任务要求。,False
N04,tool_use_reliability,,normal,claude,claude,openai,gpt-5.5,openai,False,3,2,2,"The agent called the correct email tool with the exact recipient, subject, and body, received a success result, and its final reply accurately reflected the completed action.",False
N04,tool_use_reliability,,normal,openai,openai,claude,claude-sonnet-4-6,claude,False,3,2,2,"Agent called the correct tool with exact parameters as specified, received success confirmation, and accurately reported the outcome without invention.",False
N04,tool_use_reliability,,normal,openai,openai,deepseek,deepseek-v4-pro,deepseek,False,3,2,2,邮件已按指定收件人、主题和正文成功发送，回复准确报告了发送结果。,False
N04,tool_use_reliability,,normal,openai,openai,openai,gpt-5.5,openai,True,3,2,2,代理按要求调用了正确的send_email工具，参数与期望完全一致，且工具结果显示发送成功，最终回复也与结果一致。,False
B03,tool_use_reliability,,boundary,deepseek,deepseek,claude,claude-sonnet-4-6,claude,False,3,2,2,"Agent correctly retrieved contact email from get_contact, queried tomorrow's calendar, used the returned email address in send_email, and identified the potential scheduling conflict between 4pm meeting and existing Review at 4:30pm—all grounded in tool results.",False
B03,tool_use_reliability,,boundary,deepseek,deepseek,deepseek,deepseek-v4-pro,deepseek,True,3,2,2,"Agent retrieved 李四's email, checked tomorrow's calendar, sent the email using the correct address, and proactively warned about meeting ambiguity and potential conflict, fully meeting the task expectations.",False
