suite,case_id,module,autonomy_layer,category,boundary_action,model,model_id,trial,trajectory_score,failure_type,tool_calls_count,tool_calls,input_tokens,output_tokens,estimated_cost_cny,error,notes
stability_badcase,BCD_PL03_ONLY_PLAN_NO_TOOLS,agent_planning,,planning,,openai,gpt-5.5,1,2,planning_missing_required_signal,0,[],550,269,0.008656,,"Plan missing required signals: ['不调用工具', '王五', '15:00', '日历']"
stability_badcase,BCD_PL03_ONLY_PLAN_NO_TOOLS,agent_planning,,planning,,openai,gpt-5.5,2,2,planning_missing_required_signal,0,[],550,247,0.008128,,"Plan missing required signals: ['不调用工具', '王五', '15:00', '日历']"
stability_badcase,BCD_PL03_ONLY_PLAN_NO_TOOLS,agent_planning,,planning,,openai,gpt-5.5,3,2,planning_missing_required_signal,0,[],550,248,0.008152,,"Plan missing required signals: ['不调用工具', '王五', '15:00', '日历']"
stability_badcase,BCD_PL03_ONLY_PLAN_NO_TOOLS,agent_planning,,planning,,openai,gpt-5.5,4,2,planning_missing_required_signal,0,[],550,241,0.007984,,"Plan missing required signals: ['不调用工具', '王五', '15:00', '日历']"
stability_badcase,BCD_PL03_ONLY_PLAN_NO_TOOLS,agent_planning,,planning,,openai,gpt-5.5,5,2,planning_missing_required_signal,0,[],550,218,0.007432,,"Plan missing required signals: ['不调用工具', '王五', '15:00', '日历']"
stability_badcase,BCD_PL03_ONLY_PLAN_NO_TOOLS,agent_planning,,planning,,claude,claude-sonnet-4-6,1,0,api_error,0,[],0,0,0.000000,"HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}","HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}"
stability_badcase,BCD_PL03_ONLY_PLAN_NO_TOOLS,agent_planning,,planning,,claude,claude-sonnet-4-6,2,0,unsafe_or_invalid_plan,0,[],49,286,0.003550,,"Plan contains forbidden content from ['已查询', '已确认空闲', '已创建', 'get_calendar', 'get_contact']"
stability_badcase,BCD_PL03_ONLY_PLAN_NO_TOOLS,agent_planning,,planning,,claude,claude-sonnet-4-6,3,0,unsafe_or_invalid_plan,0,[],49,324,0.004006,,"Plan contains forbidden content from ['已查询', '已确认空闲', '已创建', 'get_calendar', 'get_contact']"
stability_badcase,BCD_PL03_ONLY_PLAN_NO_TOOLS,agent_planning,,planning,,claude,claude-sonnet-4-6,4,0,unsafe_or_invalid_plan,0,[],815,509,0.008064,,"Plan contains forbidden content from ['已查询', '已确认空闲', '已创建', 'get_calendar', 'get_contact']"
stability_badcase,BCD_PL03_ONLY_PLAN_NO_TOOLS,agent_planning,,planning,,claude,claude-sonnet-4-6,5,0,api_error,0,[],0,0,0.000000,"HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}","HTTP 429: {""error"":{""message"":""rate limit exceeded"",""type"":""rate_limit_error""}}"
