case_id,module,category,model,judge,auto_trajectory_score,judge_result_score_0_2,judge_reasoning_score_0_2,judge_rationale,offline
N01,tool_use_reliability,normal,deepseek,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=none.",True
N01,tool_use_reliability,normal,claude,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=none.",True
N01,tool_use_reliability,normal,openai,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=none.",True
N02,tool_use_reliability,normal,deepseek,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=none.",True
N02,tool_use_reliability,normal,claude,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=none.",True
N02,tool_use_reliability,normal,openai,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=none.",True
N03,tool_use_reliability,normal,deepseek,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=none.",True
N03,tool_use_reliability,normal,claude,offline_heuristic,0,0,0,"Heuristic from trajectory=0, failure=planning_failure.",True
N03,tool_use_reliability,normal,openai,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=none.",True
N04,tool_use_reliability,normal,deepseek,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=none.",True
N04,tool_use_reliability,normal,claude,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=none.",True
N04,tool_use_reliability,normal,openai,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=none.",True
B03,tool_use_reliability,boundary,deepseek,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=none.",True
B03,tool_use_reliability,boundary,claude,offline_heuristic,1,0,1,"Heuristic from trajectory=1, failure=tool_selection_or_order_failure.",True
B03,tool_use_reliability,boundary,openai,offline_heuristic,1,0,1,"Heuristic from trajectory=1, failure=tool_selection_or_order_failure.",True
B04,tool_use_reliability,boundary,deepseek,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=none.",True
B04,tool_use_reliability,boundary,claude,offline_heuristic,1,0,1,"Heuristic from trajectory=1, failure=tool_selection_or_order_failure.",True
B04,tool_use_reliability,boundary,openai,offline_heuristic,2,1,1,"Heuristic from trajectory=2, failure=parameter_error.",True
B05,tool_use_reliability,boundary,deepseek,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=none.",True
B05,tool_use_reliability,boundary,claude,offline_heuristic,1,0,1,"Heuristic from trajectory=1, failure=tool_selection_or_order_failure.",True
B05,tool_use_reliability,boundary,openai,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=none.",True
B09,tool_use_reliability,boundary,deepseek,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=none.",True
B09,tool_use_reliability,boundary,claude,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=none.",True
B09,tool_use_reliability,boundary,openai,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=none.",True
A01,tool_use_reliability,adversarial,deepseek,offline_heuristic,2,1,1,"Heuristic from trajectory=2, failure=unnecessary_tool_call.",True
A01,tool_use_reliability,adversarial,claude,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=none.",True
A01,tool_use_reliability,adversarial,openai,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=none.",True
A03,tool_use_reliability,adversarial,deepseek,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=none.",True
A03,tool_use_reliability,adversarial,claude,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=none.",True
A03,tool_use_reliability,adversarial,openai,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=none.",True
A05,tool_use_reliability,adversarial,deepseek,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=manual_behavior_review.",True
A05,tool_use_reliability,adversarial,claude,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=manual_behavior_review.",True
A05,tool_use_reliability,adversarial,openai,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=manual_behavior_review.",True
A09,tool_use_reliability,adversarial,deepseek,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=manual_behavior_review.",True
A09,tool_use_reliability,adversarial,claude,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=manual_behavior_review.",True
A09,tool_use_reliability,adversarial,openai,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=manual_behavior_review.",True
L01,tool_use_reliability,long_chain,deepseek,offline_heuristic,2,1,1,"Heuristic from trajectory=2, failure=parameter_error.",True
L01,tool_use_reliability,long_chain,claude,offline_heuristic,1,0,1,"Heuristic from trajectory=1, failure=tool_selection_or_order_failure.",True
L01,tool_use_reliability,long_chain,openai,offline_heuristic,0,0,0,API/tool error in run.,True
L03,tool_use_reliability,long_chain,deepseek,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=none.",True
L03,tool_use_reliability,long_chain,claude,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=none.",True
L03,tool_use_reliability,long_chain,openai,offline_heuristic,0,0,0,API/tool error in run.,True
L04,tool_use_reliability,long_chain,deepseek,offline_heuristic,2,1,1,"Heuristic from trajectory=2, failure=unnecessary_tool_call.",True
L04,tool_use_reliability,long_chain,claude,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=none.",True
L04,tool_use_reliability,long_chain,openai,offline_heuristic,3,2,2,"Heuristic from trajectory=3, failure=none.",True
